Recall_Number,Date,Year,Trade_Name,Recalling_Firm,Recall_Class,Reason_Recall,Fault_Class,Failure_Mode,Action,Action_Category,Quantity_Full, Quantity_Short
Z-0861-06,May-27-2006,2006,Kinetra Implantable Neurostimulator - Medtronic Kinetra 7428.   Dual Program Neurostimulator for Deep Brain Stimulation.  Rx only.  Medtronic; Inc.; 710 Medtronic Parkway; Minneapolis; MN  55432-5604 USA.  Kinetra neurostimulator is a component of the Activa System.  The Medtronic Activa System is an implantable; multiprogrammable system that delivers electrical stimulation to selected areas of the brain.  The dual program Model 7428 Kinetra Neurostimulator generates electrical signals that are transmitted to the brain.  The neurostimulator consists of electronic circuitry and a battery; which are hermetically sealed in a titanium case.,Medtronic Neurological,3,A specific subset of model 7428 Kinetra implantable neurostimulators may fail due to lifted wirebonds between the hybrid circuit and battery.   This failure mechanism may present clinically as loss of functionality and a return of the patient's underlying medical conditions.,Hardware,Device Operation,An Urgent Device Recall Important Patient Management Information letter was sent to implanting and following physicians of patients who have received the device.  The letter describes the issue and provides recommendations.,Instructions,24,24
Z-0547-06,Feb-23-2006,2006,LIFEPAK CR Plus - LIFEPAK CR Plus defibrillator,Medtronic Emergency Response Systems; Inc.,2,One of the printed circuit board assemblies may be contaminated with solder flux which can cause a short that may render the device inoperative.,Hardware,Device Operation,"On 1/31/06 the firm sent a letter flagged URGENT-MEDICAL DEVICE RECALL to their customers via certified return receipt.  The letter advised customers of the problem and requested the customers inspect their units at least weekly.  The customers are provided additional guidance if they see certain symbols as described in the letter.  The firm''s service personnel will visit the customers, remove and replace units.",Replace device,"20,525 devices total - CR Plus and LIFEPAK Express",20525
Z-1294-06,Sep-28-2006,2006,INSIGNIA Ultra and NEXUS Ultra - Guidant INSIGNIA I Ultra --family of pacemakers includes the following: SR (models1190); and DR (models1290; 1291). Intermedics NEXUS I Ultra family of pacemakers includes the following: SR (model 1390) and DR (model 1490; 1491). The Intermedics NEXUS I Ultra (models 1390; 1490; 1491) are not available in the US.  The INSIGNIA I Ultra pacemakers are multiprogrammable pacemakers from Guidant.--The NEXUS I Ultra pacemakers are multiprogrammable pacemakers from Intermedics. Guidant Corporation; Cardiac Rhythm Management; 4100 Hamline Avenue North; St. Paul; MN 55112-5798 USA. or Intermedics; Inc.; 4100 Hamline Avenue North; St. Paul; MN 55112-5798 USA.  Quantities Distributed by model are as follows:  INSIGNIA ULTRA SR model 1190 = 4;590; DR model 1290 = 9;654; model 1291 = 4;038.  NEXUS ULTRA SR model 1390 = 15; DR model 1490 = 52; model 1491 = 57.,Boston Scientific CRM Corp,2,Guidant has determined that low-voltage capacitors from a single component supplier may malfunction in a manner that can lead to premature battery depletion or loss of pacing output without warning in the affected devices.,Hardware,N/A,"A Press Release was issued on 06/26/06.  An Urgent Medical Device Safety Information & Corrective Action letter, dated 06/23/06 was delivered to physicians describing preliminary information before Guidant has completed its own investigation and finalized patient care recommendations.  Non-implanted inventory is being retrieved from hospital shelves and Guidant Represenatatives.  Physicians are to perform an in-clinic follow-up exam as soon as possible with patients implanted with affected devices.",Return/Instructions,18406,18406
Z-0535-06,Feb-18-2006,2006,Sigma Pacemaker - Sigma implantable pulse generators (IPGs) Dual Chamber Rate Responsive Pacemaker; models SDR203; SDR303; SDR306,Medtronic Inc. Cardiac Rhythm Managment,2,An issue exists with a specific subset of Sigma series pacemakers that may fail due to separation of interconnect wires from the hybrid circuit.  This failure mechanism may present clinically as loss of rate response; premature battery depletion; intermittent or total loss of telemetry; or not output.  There have been no reported patient injuries or deaths due to this issue.,Hardware,Device Operation,"Press Release was issued 11/29/05.  Hospital/physician letters sent via registered mail on 11/29/05 for delivery on 12/01/05.  Unimplanted devices are being retrieved.  The Physician letter describes the issue, root cause, the probability of reoccurrence and provides recommendations.  A list of affected serial numbers that the physician is following or has implanted is attached to the letter.   The letter also provides medtronic''s website in which regular updates on the ongoing actual performance are listed in  their Product Performance Report.  Medtronic is providing a replacement device should the Physician and patient elect to replace the affected implanted device.",Replace,12756,12756
Z-1299-06,Sep-28-2006,2006,VITALITY and VITALITY 2 - VITALITY (models 1870; 1871; T125; T127; T135) and VITALITY 2 (models T165; T167; T175; T177).  Implantable Cardioverter Defibrillators (ICD).  Quantities Distributed by model are as follows: VITALITY model 1870 = 40; model 1871 = 1; model T125 = 613; model T127 = 49; model T135 = 536.  VITALITY2 model T165 = 1;994; model T167 = 710; model T175 = 2;010; model T177 = 879.,Boston Scientific CRM Corp,2,Guidant has determined that low-voltage capacitors from a single component supplier may malfunction in a manner that can lead to premature battery depletion or incorrect sensing in the affected devices.,Hardware,N/A,"A Press Release was issued on 06/26/06.  An Urgent Medical Device Safety Information & Corrective Action letter, dated 06/23/06 was delivered to physicians describing preliminary information before Guidant has completed its own investigation and finalized patient care recommendations.  Non-implanted inventory is being retrieved from hospital shelves and Guidant Represenatatives.  Physicians are to perform an in-clinic follow-up exam as soon as possible with patients implanted with affected devices.",Instructions for chekup,6832,6832
Z-0290-2007,Dec-19-2006,2006,Medtronic Kinetra Implantable Neurostimulator - Medtronic Kinetra Dual Program Neurostimulator for Deep Brain Stimulation; model 7428.  Rx only.  Medtronic; Inc.; 710 Medtronic Parkway; Minneapolis; MN  55432-5604 USA.  The dual program model 7428 Kinetra Neurostimulator generates electrical signals that are transmitted to the brain.  These signals are delivered from the neurostimulator to the brain via DBS extension or DBS leads.  The neurostimulator consists of electronic circuitry and a battery; which are hermetically sealed in a titanium case.  The operation of the neurostimulator is supported by a clinician programmer; a therapy controller; and a control magnet.,Medtronic Neurological,2,A subset of Kinetra implantable neurostimulators may experience a failure of wire connections between the electronic hybrid circuit and battery which may lead to sudden cessation of therapy.  Sudden cessation of therapy can result in the immediate return or worsening of underlying symptoms due to the progression of the disease state.,Hardware,Treatment/Delivery/Therapy,"Letter dated July 2006.  Recommendations were made to Health Care Providers of the following:

1.Consider the potential for this anomaly if your patient present with a device in a POR state. 

2. Consider informing your patients of this risk and advise them to seek attention immediately if they experience a return of pre-implant or more advanced symptoms.

3. Determine whether device replacement is warranted based upon consultation with your patient, review of the patient''s medical history and consideration of the relative risks of abrupt cessation of stimulation versus the risk of a device replacement surgical procedure.

4. Report any malfunction, removal and replacement to Medtronic and FDA suing the medical device reporting system.

5. Acknowledge this communication using the reply form enclosed.",Replace,6726 devices,6726
Z-1296-06,Sep-28-2006,2006,INSIGNIA AVT and NEXUS AVT - Guidant INSIGNIA I AVT --family of pacemakers includes the following: SSI (model 482); VDD (model 882); DDD (model 982); SR (model 1192 and DR (model 1292). Intermedics NEXUS I AVT family of pacemakers includes the following: VDD (model 1428); DDD (model 1432); SR (model 1392) and DR (model 1492). The INSIGNIA I AVT pacemakers are multiprogrammable pacemakers from Guidant.-- The NEXUS I AVT pacemakers are multiprogrammable pacemakers from Intermedics. Guidant Corporation; Cardiac Rhythm Management; 4100 Hamline Avenue North; St. Paul; MN 55112-5798 USA. or Intermedics; Inc.; 4100 Hamline Avenue North; St. Paul; MN 55112-5798 USA.  Quantities Distributed by model are as follows:  INSIGNIA AVT SSI model 482 = 303; VDD model 882 = 789; DDD model 982 = 656; SR model 1192 = 988; DR model 1292 = 1;408.  NEXUS AVT  VDD model 1428 = 67;  SR model 1392 = 19; DR model 1492 = 39. ****The following devices are not available in the US. *****,Boston Scientific CRM Corp,2,Guidant has determined that low-voltage capacitors from a single component supplier may malfunction in a manner that can lead to premature battery depletion or loss of pacing output without warning in the affected devices,Hardware,N/A,"A Press Release was issued on 06/26/06.  An Urgent Medical Device Safety Information & Corrective Action letter, dated 06/23/06 was delivered to physicians describing preliminary information before Guidant has completed its own investigation and finalized patient care recommendations.  Non-implanted inventory is being retrieved from hospital shelves and Guidant Represenatatives.  Physicians are to perform an in-clinic follow-up exam as soon as possible with patients implanted with affected devices.",Instructions for checkup,4269,4269
Z-0546-06,Feb-22-2006,2006,LIFEPAK 500 - LIFEPAK 500 automated external defibrillator (AED),Medtronic Emergency Response Systems; Inc.,2,Component leads may have intermittent connection to the printed circuit board assembly pads - which could render the device inoperative.,Hardware,Device Operation,On 2/1/06 the firm issued an UREGENT MEDICAL DEVICE CORRECTION  letter to customers via certified return receipt.  The letter advised customers of the issue and recommended customers inspect their AED at least weekly. The letter also advised customers what to do when readiness indicator displays certain symbols.  The firm''s representatives will visit customers to replace the main circuit board assembly.,Replace component,"2100 domestically, 1980 internationally",4080
Z-0411-06,Jan-28-2006,2006,Baxter 6060 & Sabratek 6060 Homerun Multi-Therapy Infusion Pump - Baxter 6060 Multi-Therapy Infusion Pump; product codes 2M9832; 2M9832P and 2M9832R; and Sabratek 6060 Homerun Infusion Pumps; product codes 606000; 606000-40; 606000-40L; and 606000-40I; Manufactured by an affiliate of Baxter Healthcare Corp.; Deerfield; IL 60013 USA; made in Singapore,Baxter Healthcare Corp.,2,Possible shorting of some printed circuit boards could result in a possible interruption of therapy or cause the pump to fail the Power-On Self Test.,Hardware,Treatment/Delivery/Therapy,"Baxter sent Urgent Device Correction letters dated 11/7/05 to the user accounts, advising them of the potential for the circuit boards in the 6060 pump to fail due to a problem that occurred in the supplier's manufacturing process.  The letter included a list of 6060 pump serial numbers sent to the user that may contain an affected circuit board.  To mitigate safety risks to the patient, Baxter advised customers to immediately discontinue use of the pump for therapies where interruption of the infusion could cause immediate patient harm.  In addition, the pump is not to be used if it fails the Power-On Self Test.  The accounts were instructed to contact Baxter Medication Delivery Services at 1-800-843-7867 for information regarding the return process for the affected 6060 pumps for correction.



Baxter sent follow-up letters dated 2/16/06 to the accounts, to the attention of the Director of Biomedical Engineering, informing them that Baxter has sufficient quantities of replacement circuit boards to begin the repairs.  The accounts were requested to review the enclosed list of serial numbers for accuracy and telephone Baxter at 1-800-843-7867 to schedule the return of any 6060 Infusion Pump that requires replacement of the circuit board.",Replace component,"3,141 pumps",3141
Z-0308-2007,Dec-27-2006,2006,Philips/Laerdal HeartStart FR2+ Automated External Defibrillator - HeartStart FR2+ Defibrillator,Philips Medical Systems,2,Potential for shock treatment to be delayed or prevented due to board contamination that causes intermittent switch operation,Hardware,Device Operation,"On 12/19/06 the firm sent letters via return receipt to all domestic customers.  The letter advised customers of the issue and if the user encounters the problem, to press the button again with additional force.  The users are to contact Philips for replacement.  The devices can be used until the user receives a replacement.",Replace device,2000 units,2000
Z-1386-06,Aug-10-2006,2006,Blood Gas and Co-Ox Electrolyte & Metabolyte Analyzers - Blood Gas and Co-Ox2  Electrolyte & Metabolyte Analyzers; ABL-700 Series; manufactured from 8/1998 through 11/2004.,Radiometer America Inc,2,Under certain circumstances; the ABL 700  & 800 Series Blood Gas Analyzers may experience leakage current into the measuring system. Consequently; the analyzers intermittently provide incorrect (too low) result values for Calcium (Ca) and Sodium (Na).,Hardware,Output/Calculation,"The consignees were notified of this recall by a letter, dated 9/29/2005. The letter informs the customers of this potential problem and the availability of new updated software which will correct the problem. The letter goes on to inform the customer that a Radiometer Service Engineer wil be contacting them shortly in order to arrange for a convenient time to install the software update. Along with the letter, the customer is provided a copy of an additional page and a CD concerning the function and operation of the new software, which is to be added to the customer''s Operator''s Manual.",Software update,1615 devices,1615
Z-1298-06,Sep-28-2006,2006,CONTAK RENEWAL TR  and CONTAK RENEWAL TR2 - CONTAK RENEWAL TR (models H120; H125) and CONTAK RENEWAL TR2 (models H140; H145).  CONTAK RENEWAL TR2 devices are not available in the US.   Quantities Distributed by model are as follows: CONTAK RENEWAL TR model H120 = 359; model H125 = 235; TR2 model H140 = 613; model H145 = 390.,Boston Scientific CRM Corp,2,Guidant has determined that low-voltage capacitors from a single component supplier may malfunction in a manner that can lead to premature battery depletion without warning in the affected devices.,Hardware,N/A,"A Press Release was issued on 06/26/06.  An Urgent Medical Device Safety Information & Corrective Action letter, dated 06/23/06 was delivered to physicians describing preliminary information before Guidant has completed its own investigation and finalized patient care recommendations.  Non-implanted inventory is being retrieved from hospital shelves and Guidant Represenatatives.  Physicians are to perform an in-clinic follow-up exam as soon as possible with patients implanted with affected devices.",Instructions for checkup,1597,1597
Z-0514-06,Feb-14-2006,2006,Microlab AT; Microlab AT+; Microlab AT+2 - Microlab AT; part numbers 135001; 135001OOC; 135002; 135003; 135005; 135006; 135006R; 135007; 135008; 135016; 135028; 135029; 936400; 936400BLU.  Microlab AT+ and Microlab AT+2; part numbers 142000; 142001; 142001R; 142002; 142003; 142005; 142006; 142006R; 142007; 142008; 142009; 142015; 142017; 142035; 142036,Hamilton Co,2,Heat sinking on power boards may not operate as intended and the board may cease to operate.,Hardware,Device Operation,"On 12/15/05, the firm initiated the recall and its notification was via letters explaining the reason for the recall and requesting the product be returned.",Return,1071 units,1071
Z-0047-2007,Oct-19-2006,2006,Esprit - Esprit Ventilator; Model Number V1000; Power Supply PN 1015852 and Power Supply Field Replacement Unit (FRU) PN; Continuous Ventilator/Continuous Ventilator with Respiratory Mechanics 1018246,Respironics California Inc,2,This action is being initiated due to power supply snubber board failures on certain Esprit Ventilators in countries that utilize operating voltages of 200-240 Volts AC and will involve the replacement ofthe Esprit Ventilator power supply snubber board. Returned power supplies have shown evidence of overheating and in some cases in which a fan also failed; have shown signs of fire damage.,Hardware,Physical Safety Hazards,"The field action will be conducted through consignees (distributors) in the affected countries. The distributors were notified of the field action by Federal Express au on August 8th, 2006. The distributors have been informed that Respironics will provide replacement circuit boards at no cost and will be instructed to upgrade the ventilator power supplies in their region. Instructions have been provided to the distributors and users on how to evaluate the ventilator to be able to continue to use it pending the completion of the upgrades.



The distributors will document the replacement of the affected component by signing and dating the activity on the Ventilator Field Action Log (reference sample on Appendix IV). The serial number of the power supply destroyed will also be recorded on the log.",Replace board,950,950
Z-1292-06,Jul-27-2006,2006,Guidant VITALITY - Guidant VITALITY 2 (models T165; T175); VITALITY DS (model T125); VITALITY EL (model T135);  Implantable Cardioverter Defibrillators (ICD); are designed to detect and terminate ventricular tachycardia (VT) and ventricular fibrillation (VF) and provide bradycardia therapy (atrial and ventricular pacing).  Therapies include both low- and high-energy shocks using either a biphasic or monophasic waveform.  Vitality 2 devices also offer a wide variety of antitachycardia pacing schemes to terminate slower; more stable ventricular tachyarrhythmias.  Bradycardia pacing; including adaptive-rate features; is available to detect and treat bradyarrhythmias and to support the cardiac rhythm after defibrillation therapy.   Devices denoted with DR offer dual-chamber bradycardia features (atrial and/or ventricular pacing and sensing); and the devices denoted with VR offer single-chamber bradycardia features (ventricular pacing and sensing).,Boston Scientific CRM Corp,2,Guidant has identified a pattern of premature battery depletion in devices manufactured with a single lot of capacitors from a single supplier.  If function of this low voltage capacitor is compromised; the battery may deplete prematurely.,Hardware,N/A,"An Urgent Medical Device Safety Information & Corrective Action letter, dated May 12, 2006, was sent to physicians.  The letter gave a description of the issue, clinical implications, rate of occurrence, devices affected and recommendation.  Physicians are asked to follow-up with affected patients as soon as possible because ERI to EOL time may be shortened.  Physicians are asked to contact Guidant for instructions on performing a baseline 'save to disk' and provide this information to Guidant.  Guidant will be able to analyze the device memory data and estimate remaining longevity and provide individualized follow-up and replacement guidelines.  Subsequent follow-up visits should continue to monitor for evidence of  premature battery depletion.",Replace device,672,672
Z-0893-06,May-23-2006,2006,High Frequency Ventilator - Life Pulse High Frequency Ventilator (HFV),Bunnell; Inc.,2,Potential loss of air flow or change in cycling of the ventilator. Valve Drive Regulator Board may not function properly at elevated temperatures.  The increase in temperature could cause a reduction of power; causing the solenoid in the valve to function sporadically.,Hardware,Device Operation,Notified consignees by letter on 04/04/2005.,Notification,297 units,297
Z-1103-06,Jun-10-2006,2006,Hitachi Altaire Magnetic Resonance Imaging Device - Hitachi Altaire Magnetic Resonance Imaging System,Hitachi Medical Systems America Inc,2,Circuit Failure-There is the potential risk of the Phase Loss Detector Safety Device (PHSEN PCB) malfunctioning in the event of a power loss.  The circuit may fail to turn off the system main breaker when 2 of the 3 power phases are lost.,Hardware,Device Operation,"The recalling firm sent a Device Correction Letter dated 1/27/06 to all of their customers. The letter informs the customers of the problem in the (PHSEN PCB) and notifies the customers that an HMSA Field Service Technician will be performing a PCB modification to the unit, on-site, during their next scheduled preventative maintenance visit.  Should the customer wish to have the modification performed prior to  the representative''s scheduled visit, the letter says that they can telephone their local Field Service Rep. and make arrangements to have the modification performed at their convenience. .",Reapir PCB,213 devices have been distributed and installed. ,213
Z-0300-2007,Dec-19-2006,2006,BCI Autocorr Plus Pulse Oximeter/ECG/Respiration Monitor - BCI 3404 Autocorr Plus Pulse Oximeter/ECG/Respiration Monitor.  Smiths Medical PM; Inc.   This device is designed to provide full featured monitoring capabilities in a tabletop design.  The system features an ECG cable interface; an SpO2 probe interface; display of patient and waveform data via an EL panel; power status LED; and the function keypad area consisting of six keys (on/off; waveform/trend; alarm silence; menu/enter; up arrow & down arrow).  The monitor has a serial port that is used for data communications to a printer or computer and for analog outputs.,Smiths Medical PM; Inc.,2,An error occurred at the board manufacturing site which may affect the following parameters:  - An electrical noise observed on the SpO2 pleth waveform generating and displaying erratic heart rates.  % SpO2 reading displays dashes.  - The ECG waveform may appear noisy; ECG readings appear accurate. -Respiration waveform may appear noisy and the respiration  readings will be displayed as dashes.,Hardware,Alarm/Message,"An Safety Action Bulletin, dated 11/03/2006 was sent to affected customers describing the issue, what parameters are affected on the monitor and provides informatin on how to have the monitor repaired.  Smiths Medical MDPM requests that an acknowledgement form be returned to them.",Repair,207,207
Z-1387-06,Aug-10-2006,2006,Blood Gas and Co-Ox Electrolyte & Metabolyte Analyzers. - Blood Gas and Co-Ox Electrolyte & Metabolyte Analyzers; ABL-800 series; manufactured from 8/2004 through 9/2005.,Radiometer America Inc,2,Under certain circumstances; the ABL 700 &800 Series Blood Gas Analyzers may experience leakage current into the measuring system. Consequently; the analyzers intermittently provide incorrect (too low) result values for Calcium (Ca) and Sodium (Na).,Hardware,Output/Calculation,"The consignees were notified of this recall by a letter, dated 9/29/2005. The letter informs the customers of this potential problem and the availability of new updated software which will correct the problem. The letter goes on to inform the customer that a Radiometer Service Engineer wil be contacting them shortly in order to arrange for a convenient time to install the software update. Along with the letter, the customer is provided a copy of an additional page and a CD concerning the function and operation of the new software, which is to be added to the customer''s Operator''s Manual.",Software update,196 devices,196
Z-1297-06,Sep-28-2006,2006,VENTAK PRIZM 2 - Guidant VENTAK PRIZM VR (model 1860) and VENTAK PRIZM DR (model 1861) Automatic Implantable Cardioverter Defibrillator (AICD); Dual Chamber; Sterilized with gaseous ethylene oxide. Guidant Corporation; Cardiac Rhythm Management; 4100 Hamline Avenue North; St. Paul; MN 55112-5798 USA.    Quantities Distributed by model are as follows: VENTAK PRIZM VR model 1860 = 67; DR model 1861 = 108.,Boston Scientific CRM Corp,2,Guidant has determined that low-voltage capacitors from a single component supplier may malfunction in a manner that can lead to premature battery depletion in the affected devices.,Hardware,N/A,"A Press Release was issued on 06/26/06.  An Urgent Medical Device Safety Information & Corrective Action letter, dated 06/23/06 was delivered to physicians describing preliminary information before Guidant has completed its own investigation and finalized patient care recommendations.  Non-implanted inventory is being retrieved from hospital shelves and Guidant Represenatatives.  Physicians are to perform an in-clinic follow-up exam as soon as possible with patients implanted with affected devices.",Instructions for checkup,175,175
Z-0623-06,Mar-02-2006,2006,Powerheart AED G3 - Powerheart AED G3 Automated External Defibrillator Model 9300A (Automatic).  Cardiac Science AEDs are manufactured by:  Manufacturing:  Cardiac Science; Inc.; 5474 Feltl Road; Minnetonka; MN  55343-7982.,Cardiac Science Corporation,2,Some Powerheart AED Model 9300A may contain a suspect electronic component and there is a remote likelihood that the function of this device may be interrupted during the charge.,Hardware,Device Operation,"Affected consignees were notified via telephone.  If no phone contact could be made, a Urgent:  Medical Device Recall letter dated 02/02/06 was sent with return receipt requested.  Customers were asked to locate affected devices and remove them from service.  A new AED would be sent to the customers and the customers are asked to return the affected device.",Return,91,91
Z-1508-06,Sep-19-2006,2006,Electrosurgical Unit - Conmed System 5000 Electrosurgical unit; REF 60-8005-SYS;  60-8015-SYS;  60-8018-SYS;  60-8005-001;  60-8005-003; Conmed Corporation.,Conmed Electrosurgery,2,Wrong size capacitor installed in electrosurgical generator could malfunction; causing muscle stimulation or delay in therapy.,Hardware,Physical Safety Hazards,Domestic customers were notified by letter on 09/01/2006 and international accounts were notified by letter on 09/07/2006.,Notification,"44 units (domestic), 40 units (International)",84
